method,baseline,domain,metric,run_minus_baseline,ci_low,ci_high,paired_environments,fixed_policies,baseline_fixed_policies,ci_method
visuotactile_margin_rl,script,all,native_shaped_return,-5.482577783324394,-13.983986935404355,4.135527890560179,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,all,native_shaped_return,-8.651587580030807,-15.348096936641943,-0.989374588016802,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,all,native_shaped_return,-10.201367317084287,-15.025505215955864,-5.094648423800663,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,id,sustained_10cm_lift_within_force_budget,-0.10000000000000002,-0.3666666666666667,0.13333333333333333,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,id,sustained_10cm_lift_within_force_budget,-0.4,-0.6666666666666667,-0.13333333333333336,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,id,sustained_10cm_lift_within_force_budget,0.03333333333333333,-0.16666666666666666,0.19999999999999998,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,id,sustained_10cm_lift_success,-0.6000000000000001,-0.8666666666666668,-0.2666666666666667,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,id,sustained_10cm_lift_success,-0.7000000000000001,-0.9,-0.4666666666666667,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,id,sustained_10cm_lift_success,-0.03333333333333334,-0.23333333333333334,0.16666666666666666,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,id,force_budget_exceeded,-0.4333333333333334,-0.8,-0.1,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,id,force_budget_exceeded,-0.33333333333333337,-0.6333333333333334,-0.03333333333333334,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,id,force_budget_exceeded,-0.4666666666666667,-0.7,-0.2333333333333333,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,id,intervention_force_budget_exceeded,-0.4333333333333334,-0.7666666666666667,-0.06666666666666668,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,id,intervention_force_budget_exceeded,-0.03333333333333334,-0.2,0.06666666666666667,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,id,intervention_force_budget_exceeded,-0.4333333333333334,-0.7,-0.16666666666666669,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,id,full_episode_peak_normal_N,-8.05936204989751,-14.08274142583211,-2.362368204394984,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,id,full_episode_peak_normal_N,-5.387364741166434,-7.248144534925621,-3.693983795444172,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,id,full_episode_peak_normal_N,-6.679611233870188,-8.371740058163804,-4.914856943587463,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,id,native_shaped_return,-21.599559990068055,-38.718092276798416,-2.3365503645462242,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,id,native_shaped_return,-28.075299040817328,-40.559690667670196,-12.77142570607693,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,id,native_shaped_return,-22.609565046549054,-30.841130542170255,-13.1922049054507,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,ood,force_budget_exceeded,-0.5,-0.7666666666666667,-0.23333333333333334,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,ood,force_budget_exceeded,-0.10000000000000002,-0.3666666666666667,0.1,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,ood,force_budget_exceeded,-0.6000000000000001,-0.7666666666666667,-0.4333333333333333,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,ood,intervention_force_budget_exceeded,-0.5,-0.7666666666666667,-0.23333333333333334,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,ood,intervention_force_budget_exceeded,-0.10000000000000002,-0.3666666666666667,0.10083333333332879,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,ood,intervention_force_budget_exceeded,-0.5333333333333334,-0.7666666666666667,-0.3,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,ood,full_episode_peak_normal_N,-6.058496141433716,-10.110283379952113,-1.9663574035962472,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,ood,full_episode_peak_normal_N,-2.5426254272460938,-4.2793416343132655,-0.8955074650049214,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,ood,full_episode_peak_normal_N,-5.85621550877889,-7.807044168512027,-3.76402664283912,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,ood,native_shaped_return,10.634404423419266,9.35415864546937,12.036589424192924,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,ood,native_shaped_return,10.772123880755707,9.643086428123514,11.796053706427761,10,3,1,stratified paired environment bootstrap of fixed-policy averages
