method,domain,metric,estimate,ci_low,ci_high,policy_runs,environment_episodes,training_seed_sd,per_policy_counts,per_policy_estimates,run_names,ci_method
vision_bc,ood,force_budget_exceeded,0.5666666666666667,0.3,0.8333333333333333,3,10,0.05773502691896257,"[6.0, 5.0, 6.0]","[0.6, 0.5, 0.6]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,ood,intervention_force_budget_exceeded,0.5333333333333333,0.2333333333333333,0.8333333333333333,3,10,0.05773502691896257,"[5.0, 5.0, 6.0]","[0.5, 0.5, 0.6]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,ood,full_episode_peak_normal_N,9.862224737803142,6.09790821313858,14.059647342761357,3,10,0.2657046351835516,,"[10.167543649673462, 9.735722970962524, 9.683407592773438]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,ood,native_shaped_return,40.837027688263625,35.51592946774032,45.88488983761266,3,10,4.049208272059666,,"[43.36295298322987, 42.9815367844203, 36.16659329714069]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,all,sustained_10cm_lift_within_force_budget,0.05,0.0,0.15,3,20,8.498374721940739e-18,"[1.0, 1.0, 1.0]","[0.05, 0.05, 0.05]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,all,sustained_10cm_lift_success,0.06666666666666667,0.0,0.16708333333333109,3,20,0.02886751345948129,"[1.0, 1.0, 2.0]","[0.05, 0.05, 0.1]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,all,force_budget_exceeded,0.8333333333333333,0.6666666666666666,0.9666666666666666,3,20,0.028867513459481253,"[16.0, 17.0, 17.0]","[0.8, 0.85, 0.85]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,all,intervention_force_budget_exceeded,0.8166666666666667,0.6333333333333334,0.9666666666666666,3,20,0.02886751345948125,"[16.0, 16.0, 17.0]","[0.8, 0.8, 0.85]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,all,full_episode_peak_normal_N,12.45153081814448,10.35985798527797,14.55310531238715,3,20,0.8046286324449405,,"[11.856781244277954, 13.367073822021485, 12.130737388134003]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,all,native_shaped_return,41.08852259651992,35.21237560155671,47.366770230873264,3,20,9.766339960677561,,"[35.5119694898916, 52.365493855985484, 35.38810444368267]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,id,sustained_10cm_lift_within_force_budget,0.1,0.0,0.3,3,10,1.6996749443881478e-17,"[1.0, 1.0, 1.0]","[0.1, 0.1, 0.1]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,id,sustained_10cm_lift_success,0.13333333333333333,0.0,0.36666666666666664,3,10,0.05773502691896258,"[1.0, 1.0, 2.0]","[0.1, 0.1, 0.2]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,id,force_budget_exceeded,0.8333333333333333,0.5666666666666667,1.0,3,10,0.05773502691896256,"[8.0, 9.0, 8.0]","[0.8, 0.9, 0.8]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,id,intervention_force_budget_exceeded,0.8,0.5,1.0,3,10,1.3597399555105182e-16,"[8.0, 8.0, 8.0]","[0.8, 0.8, 0.8]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,id,full_episode_peak_normal_N,12.275641226768494,9.270384743611018,14.796127067009605,3,10,1.2737533010502398,,"[11.780311727523804, 13.72265329360962, 11.323958659172058]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,id,native_shaped_return,48.000840264659516,38.328581342577486,58.748637704032234,3,10,8.456046635014891,,"[39.97854144590304, 56.832442551152155, 47.19153679692336]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_rl,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,3,10,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[""vision_seed0_rl"", ""vision_seed1_rl"", ""vision_seed2_rl""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
