group,domain,metric,metric_type,estimate,ci_low,ci_high,n_environments,n_policies,ci_method
BC_vision,geometry_ood,max_height_m,mean,0.03245298018058141,0.020460770861763095,0.04525010512106948,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,physics_ood,max_height_m,mean,0.05455628190603521,0.04533566677942871,0.06373264527983134,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,combined_ood,max_height_m,mean,0.03617514798210727,0.02514097304497328,0.047594880447205536,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,all,max_height_m,mean,0.05827263594708509,0.05245225514466356,0.0639997067871607,120,3,paired_environment_percentile_bootstrap_95pct
BC_vision,id,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,geometry_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,physics_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,combined_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,all,setup_peak_N,mean,0.0,0.0,0.0,120,3,paired_environment_percentile_bootstrap_95pct
BC_vision,id,strict_longest,mean,21.08888888888889,16.899166666666666,25.144444444444446,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,geometry_ood,strict_longest,mean,3.677777777777778,1.455,6.4113888888888875,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,physics_ood,strict_longest,mean,4.133333333333334,1.5994444444444447,6.922222222222222,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,combined_ood,strict_longest,mean,4.277777777777778,1.3763888888888889,8.089444444444442,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,all,strict_longest,mean,8.294444444444444,6.727708333333332,9.936319444444441,120,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,id,strict_lift,rate,0.7222222222222221,0.6333333333333333,0.8,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,geometry_ood,strict_lift,rate,0.4222222222222222,0.3333333333333333,0.5111111111111111,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,physics_ood,strict_lift,rate,0.36666666666666664,0.26666666666666666,0.4666666666666667,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,combined_ood,strict_lift,rate,0.31111111111111106,0.2222222222222222,0.4111111111111111,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,all,strict_lift,rate,0.45555555555555555,0.4083333333333333,0.5027777777777778,120,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,id,joint_success,rate,0.27777777777777773,0.16666666666666666,0.4,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,geometry_ood,joint_success,rate,0.15555555555555553,0.07777777777777777,0.2447222222222207,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,physics_ood,joint_success,rate,0.15555555555555553,0.06666666666666667,0.26666666666666666,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,combined_ood,joint_success,rate,0.05555555555555555,0.01111111111111111,0.1,30,3,paired_environment_percentile_bootstrap_95pct
IQL_vision,all,joint_success,rate,0.1611111111111111,0.11666666666666667,0.2111111111111111,120,3,paired_environment_percentile_bootstrap_95pct
