contrast,first,second,domain,metric,estimate_difference,ci_low,ci_high,unit,percentage_point_difference,percentage_point_ci_low,percentage_point_ci_high,n_environments,ci_method
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,geometry_ood,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,geometry_ood,strict_longest,12.044444444444446,7.722222222222221,16.511944444444442,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,physics_ood,strict_lift,0.2444444444444444,0.1111111111111111,0.3777777777777777,proportion_difference,24.44444444444444,11.11111111111111,37.77777777777777,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,physics_ood,joint_success,0.022222222222222227,-0.044444444444444425,0.09999999999999998,proportion_difference,2.2222222222222228,-4.444444444444443,9.999999999999998,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,physics_ood,force_violation,0.033333333333333326,-0.06666666666666665,0.12222222222222223,proportion_difference,3.3333333333333326,-6.666666666666665,12.222222222222223,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,physics_ood,peak_N,0.7969610691070557,-0.17557952341106067,1.7798631806837195,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,physics_ood,max_height_m,0.025202853739675554,0.012249256706434411,0.0372480717042668,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,physics_ood,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,physics_ood,strict_longest,9.455555555555554,5.699722222222223,13.444444444444443,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,combined_ood,strict_lift,0.3,0.17777777777777776,0.43333333333333335,proportion_difference,30.0,17.777777777777775,43.333333333333336,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,combined_ood,joint_success,0.07777777777777778,0.011111111111111106,0.15555555555555556,proportion_difference,7.777777777777778,1.1111111111111107,15.555555555555555,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,combined_ood,force_violation,0.011111111111111183,-0.07777777777777778,0.09999999999999998,proportion_difference,1.1111111111111183,-7.777777777777778,9.999999999999998,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,combined_ood,peak_N,0.6096751517719685,-0.43625406907664477,1.5761788314580913,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,combined_ood,max_height_m,0.03832945632230904,0.024851515008550543,0.05125580586932806,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,combined_ood,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,combined_ood,strict_longest,12.144444444444442,7.375833333333333,16.944444444444443,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,all,strict_lift,0.2361111111111111,0.1694444444444445,0.29999999999999993,proportion_difference,23.61111111111111,16.94444444444445,29.999999999999993,120,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,all,joint_success,0.0888888888888889,0.04722222222222225,0.13333333333333333,proportion_difference,8.888888888888891,4.722222222222225,13.333333333333334,120,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,all,force_violation,0.033333333333333326,-0.016666666666666607,0.08333333333333337,proportion_difference,3.3333333333333326,-1.6666666666666607,8.333333333333337,120,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,all,peak_N,1.0146214081181402,0.3933677408533785,1.5938778035032257,native_metric_difference,,,,120,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,all,max_height_m,0.031128371724238005,0.024301063954222216,0.03812759712215565,native_metric_difference,,,,120,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,all,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,120,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,all,strict_longest,9.538888888888886,7.1691666666666665,11.983541666666664,native_metric_difference,,,,120,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - IQL_visuotactile,WM_visuotactile,IQL_visuotactile,id,strict_lift,0.011111111111111072,-0.0888888888888889,0.11111111111111127,proportion_difference,1.1111111111111072,-8.888888888888891,11.111111111111127,30,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - IQL_visuotactile,WM_visuotactile,IQL_visuotactile,id,joint_success,-0.07777777777777772,-0.22222222222222224,0.055555555555555636,proportion_difference,-7.777777777777772,-22.222222222222225,5.555555555555563,30,paired_environment_percentile_bootstrap_95pct
