seed,alpha,split,method,frame_joint_constraint_coverage,trajectory_joint_constraint_coverage,mean_normal_upper_margin_N,mean_g_upper_margin_N,q_N,trajectories,frames
29,0.1,test_flat,point,0.7773093139133768,0.5369127516778524,0.0,0.0,0.0,298,13045
29,0.1,test_sharp,point,0.46585039219437535,0.24671052631578946,0.0,0.0,0.0,304,20908
29,0.1,test_id,frame_constraint,0.8991447295345996,0.1896551724137931,0.10359617322683334,0.10359617471694946,0.10359617471694946,116,9003
29,0.1,test_batch6,frame_constraint,0.8851636747624076,0.1437908496732026,0.10359616577625275,0.10359617471694947,0.10359617471694946,153,11364
29,0.1,test_flat,frame_constraint,0.9113836719049444,0.738255033557047,0.10359615832567215,0.10359617471694946,0.10359617471694946,298,13045
29,0.1,test_sharp,frame_constraint,0.8350870480198966,0.39473684210526316,0.10359615832567215,0.10359617471694944,0.10359617471694946,304,20908
29,0.1,test_id,trajectory_coordinate_box,0.9977785182716872,0.9913793103448276,0.34095335006713867,0.6541152106728103,0.34095337986946106,116,9003
29,0.1,test_batch6,trajectory_coordinate_box,0.9992960225272791,0.9869281045751634,0.34095335006713867,0.6561732922224053,0.34095337986946106,153,11364
29,0.1,test_flat,trajectory_coordinate_box,0.9990034495975469,0.9932885906040269,0.34095337986946106,0.6554212970219878,0.34095337986946106,298,13045
29,0.1,test_sharp,trajectory_coordinate_box,0.9951214845991965,0.9473684210526315,0.34095335006713867,0.6535423358386147,0.34095337986946106,304,20908
29,0.1,test_id,trajectory_constraint,0.9934466289014773,0.8879310344827587,0.32672119140625,0.3267211705446242,0.3267211705446243,116,9003
29,0.1,test_batch6,trajectory_constraint,0.9957761351636748,0.9150326797385621,0.32672119140625,0.3267211705446243,0.3267211705446243,153,11364
29,0.1,test_flat,trajectory_constraint,0.9883480260636259,0.9395973154362416,0.32672119140625,0.32672117054462424,0.3267211705446243,298,13045
29,0.1,test_sharp,trajectory_constraint,0.9810120528027549,0.8256578947368421,0.32672119140625,0.3267211705446243,0.3267211705446243,304,20908
29,0.05,test_id,point,0.3185604798400533,0.0,0.0,0.0,0.0,116,9003
29,0.05,test_batch6,point,0.32770151355156635,0.0,0.0,0.0,0.0,153,11364
29,0.05,test_flat,point,0.7773093139133768,0.5369127516778524,0.0,0.0,0.0,298,13045
29,0.05,test_sharp,point,0.46585039219437535,0.24671052631578946,0.0,0.0,0.0,304,20908
29,0.05,test_id,frame_constraint,0.9459069199155837,0.43103448275862066,0.14728480577468872,0.14728482365608217,0.1472848236560822,116,9003
29,0.05,test_batch6,frame_constraint,0.9374340021119324,0.3464052287581699,0.14728482067584991,0.14728482365608223,0.1472848236560822,153,11364
29,0.05,test_flat,frame_constraint,0.9454197010348793,0.8221476510067114,0.14728479087352753,0.14728482365608223,0.1472848236560822,298,13045
29,0.05,test_sharp,frame_constraint,0.9103214080734647,0.5,0.14728480577468872,0.14728482365608223,0.1472848236560822,304,20908
29,0.05,test_id,trajectory_coordinate_box,0.9986671109630123,0.9913793103448276,0.39721858501434326,0.7631560697280935,0.39721858501434326,116,9003
29,0.05,test_batch6,trajectory_coordinate_box,0.9999120028159099,0.9934640522875817,0.39721861481666565,0.7653486460678552,0.39721858501434326,153,11364
29,0.05,test_flat,trajectory_coordinate_box,0.9995400536604063,0.9932885906040269,0.39721861481666565,0.7642473451128762,0.39721858501434326,298,13045
29,0.05,test_sharp,trajectory_coordinate_box,0.9971781136407117,0.9736842105263158,0.39721858501434326,0.7623748281035124,0.39721858501434326,304,20908
29,0.05,test_id,trajectory_constraint,0.996001332889037,0.9482758620689655,0.3570168614387512,0.35701688528060915,0.35701688528060915,116,9003
29,0.05,test_batch6,trajectory_constraint,0.9975360788454769,0.9281045751633987,0.3570168614387512,0.3570168852806091,0.35701688528060915,153,11364
29,0.05,test_flat,trajectory_constraint,0.9910310463779226,0.9496644295302014,0.357016921043396,0.3570168852806091,0.35701688528060915,298,13045
29,0.05,test_sharp,trajectory_constraint,0.9843600535680123,0.8486842105263158,0.3570168912410736,0.3570168852806092,0.35701688528060915,304,20908
43,0.2,test_id,point,0.3764300788626014,0.0,0.0,0.0,0.0,116,9003
43,0.2,test_batch6,point,0.4067229848644843,0.0,0.0,0.0,0.0,153,11364
43,0.2,test_flat,point,0.4818704484476811,0.04697986577181208,0.0,0.0,0.0,298,13045
43,0.2,test_sharp,point,0.5030132006887316,0.40789473684210525,0.0,0.0,0.0,304,20908
43,0.2,test_id,frame_constraint,0.8018438298344996,0.02586206896551724,0.05482965707778931,0.05482966341078282,0.054829663410782825,116,9003
43,0.2,test_batch6,frame_constraint,0.8005983808518128,0.0196078431372549,0.054829664528369904,0.05482966341078282,0.054829663410782825,153,11364
43,0.2,test_flat,frame_constraint,0.599386738213875,0.10067114093959731,0.05482965335249901,0.05482966341078281,0.054829663410782825,298,13045
43,0.2,test_sharp,frame_constraint,0.655490721255022,0.4440789473684211,0.05482965335249901,0.054829663410782804,0.054829663410782825,304,20908
43,0.2,test_id,trajectory_coordinate_box,0.997223147839609,0.9741379310344828,0.31196674704551697,0.5980110669669507,0.31196674704551697,116,9003
43,0.2,test_batch6,trajectory_coordinate_box,0.9987680394227385,0.9869281045751634,0.3119667172431946,0.5997163480240125,0.31196674704551697,153,11364
43,0.2,test_flat,trajectory_coordinate_box,0.9888846301264852,0.9194630872483222,0.31196677684783936,0.5851153361880923,0.31196674704551697,298,13045
43,0.2,test_sharp,trajectory_coordinate_box,0.9949301702697532,0.930921052631579,0.31196674704551697,0.5990400256358706,0.31196674704551697,304,20908
43,0.2,test_id,trajectory_constraint,0.9811174053093413,0.7672413793103449,0.26135164499282837,0.2613516494631768,0.26135164946317674,116,9003
43,0.2,test_batch6,trajectory_constraint,0.983016543470609,0.7581699346405228,0.26135164499282837,0.2613516494631768,0.26135164946317674,153,11364
43,0.2,test_flat,trajectory_constraint,0.8690686086623227,0.5067114093959731,0.261351615190506,0.26135164946317674,0.26135164946317674,298,13045
43,0.2,test_sharp,trajectory_constraint,0.9684331356418596,0.7532894736842105,0.261351615190506,0.26135164946317685,0.26135164946317674,304,20908
43,0.1,test_id,point,0.3764300788626014,0.0,0.0,0.0,0.0,116,9003
43,0.1,test_batch6,point,0.4067229848644843,0.0,0.0,0.0,0.0,153,11364
43,0.1,test_flat,point,0.4818704484476811,0.04697986577181208,0.0,0.0,0.0,298,13045
43,0.1,test_sharp,point,0.5030132006887316,0.40789473684210525,0.0,0.0,0.0,304,20908
43,0.1,test_id,frame_constraint,0.8914806175719204,0.10344827586206896,0.10950702428817749,0.10950703024864197,0.10950703024864197,116,9003
43,0.1,test_batch6,frame_constraint,0.8749560014079549,0.1503267973856209,0.10950703918933868,0.10950703024864196,0.10950703024864197,153,11364
43,0.1,test_flat,frame_constraint,0.7029513223457263,0.21140939597315436,0.10950703918933868,0.10950703024864197,0.10950703024864197,298,13045
43,0.1,test_sharp,frame_constraint,0.7920413238951598,0.5032894736842105,0.10950703173875809,0.10950703024864199,0.10950703024864197,304,20908
43,0.1,test_id,trajectory_coordinate_box,0.998778185049428,0.9913793103448276,0.37615182995796204,0.722363596463948,0.3761518597602844,116,9003
43,0.1,test_batch6,trajectory_coordinate_box,0.9997360084477297,0.9934640522875817,0.3761518597602844,0.724232268944129,0.3761518597602844,153,11364
43,0.1,test_flat,trajectory_coordinate_box,0.9976236105787658,0.9765100671140939,0.3761518895626068,0.7080176098291399,0.3761518597602844,298,13045
