seed,alpha,split,method,assumed_mu,assumed_normal_ceiling_N,certification_coverage,true_constraint_valid_fraction,false_certificate_per_frame,violation_given_certification,valid_certificates_per_frame,trajectory_any_false_certificate,certified_frames,frames
17,0.05,test_sharp,point,0.5,3.0,0.3502487086282763,0.746030227664052,0.03596709393533576,0.10269015430834358,0.3142816146929405,0.33223684210526316,7323,20908
17,0.05,test_sharp,point,0.8,0.5,0.3369045341496078,0.5440501243543141,0.0714080734647025,0.2119534355479841,0.2654964606849053,0.45394736842105265,7044,20908
17,0.05,test_sharp,point,0.8,1.0,0.5717907021235891,0.7801320068873159,0.0828391046489382,0.1448766206608114,0.48895159747465083,0.5953947368421053,11955,20908
17,0.05,test_sharp,point,0.8,2.0,0.5722689879471973,0.7801798354696767,0.0833173904725464,0.14559130798161304,0.48895159747465083,0.5953947368421053,11965,20908
17,0.05,test_sharp,point,0.8,3.0,0.5722689879471973,0.7801798354696767,0.0833173904725464,0.14559130798161304,0.48895159747465083,0.5953947368421053,11965,20908
17,0.05,test_id,frame_constraint,0.3,0.5,0.0,0.5585915805842497,0.0,,0.0,0.0,0,9003
17,0.05,test_id,frame_constraint,0.3,1.0,0.014883927579695658,0.7534155281572809,0.0,0.0,0.014883927579695658,0.0,134,9003
17,0.05,test_id,frame_constraint,0.3,2.0,0.02177052093746529,0.7534155281572809,0.0,0.0,0.02177052093746529,0.0,196,9003
17,0.05,test_id,frame_constraint,0.3,3.0,0.02177052093746529,0.7534155281572809,0.0,0.0,0.02177052093746529,0.0,196,9003
17,0.05,test_id,frame_constraint,0.5,0.5,0.0,0.5653670998556037,0.0,,0.0,0.0,0,9003
17,0.05,test_id,frame_constraint,0.5,1.0,0.1987115405975786,0.7679662334777296,0.0003332222592469177,0.0016769144773616546,0.19837831833833167,0.02586206896551724,1789,9003
17,0.05,test_id,frame_constraint,0.5,2.0,0.21826057980673108,0.7679662334777296,0.0004442963456625569,0.002035623409669211,0.21781628346106854,0.034482758620689655,1965,9003
17,0.05,test_id,frame_constraint,0.5,3.0,0.21826057980673108,0.7679662334777296,0.0004442963456625569,0.002035623409669211,0.21781628346106854,0.034482758620689655,1965,9003
17,0.05,test_id,frame_constraint,0.8,0.5,0.11796067977340886,0.5828057314228591,0.0016661112962345886,0.014124293785310734,0.11629456847717427,0.034482758620689655,1062,9003
