run,variant,seed,split,method,windows,episodes,force_mae_N,force_mae_components_N,height_mae_m,rgb16_mse,substep_peak_mae_N,substep_peak_mae_by_horizon_N,substep_peak_underprediction_p95_N,support_accuracy,contact_accuracy,reward_mae,force_mae_by_horizon_N,height_mae_by_horizon_m,contact_forecasts,contact_phase_force_mae_N,contact_phase_height_mae_m
vision_seed1,vision,1,test_id,world_model,600,20,1.019396424293518,"[2.6107776165008545, 0.34972095489501953, 0.09706366807222366, 2.6014761924743652, 0.36133283376693726, 0.09600949287414551]",0.004499772563576698,0.0007440152112394571,2.5257792472839355,"[2.382265329360962, 2.472135066986084, 2.521519184112549, 2.597724199295044, 2.65525221824646]",6.670561790466309,0.975,0.9871666666666666,0.027762282639741898,"[0.9644178748130798, 0.996928870677948, 1.0156800746917725, 1.0446690320968628, 1.0752860307693481]","[0.003459022380411625, 0.004006961360573769, 0.0045238640159368515, 0.005011418834328651, 0.005497600883245468]",1441,2.020724058151245,0.008058171719312668
vision_seed1,vision,1,test_id,persistence_no_dynamics,600,20,0.9572202563285828,"[2.4848690032958984, 0.347995400428772, 0.09858603030443192, 2.373908758163452, 0.34091126918792725, 0.09705537557601929]",0.005543980281800032,0.0009431166108697653,2.3293228149414062,"[2.262950897216797, 2.2788491249084473, 2.3241231441497803, 2.3721845149993896, 2.408507823944092]",5.850256443023682,0.9463333333333334,0.9806666666666667,0.046783123165369034,"[0.9369555711746216, 0.9415543675422668, 0.9520041942596436, 0.9676011204719543, 0.9879849553108215]","[0.003636691253632307, 0.004461231641471386, 0.0054664346389472485, 0.00652098935097456, 0.00763455405831337]",1441,1.9073128700256348,0.010073892772197723
vision_seed1,vision,1,test_ood,world_model,600,20,0.7175127863883972,"[1.756591796875, 0.30157721042633057, 0.09092450141906738, 1.716961145401001, 0.3390081524848938, 0.10001165419816971]",0.002228268887847662,0.0010542765958234668,1.8066985607147217,"[1.734120488166809, 1.7839703559875488, 1.8077510595321655, 1.834712266921997, 1.8729372024536133]",8.927058219909668,0.8773333333333333,0.9688333333333333,0.04463471472263336,"[0.698409378528595, 0.6964381337165833, 0.7109895944595337, 0.7232794165611267, 0.758448600769043]","[0.0020023684483021498, 0.0020587437320500612, 0.002214266685768962, 0.0023473689798265696, 0.002518598921597004]",717,2.4830119609832764,0.005373383406549692
vision_seed1,vision,1,test_ood,persistence_no_dynamics,600,20,0.7320263981819153,"[1.6887285709381104, 0.3338172733783722, 0.09843820333480835, 1.809043288230896, 0.34397652745246887, 0.11815083026885986]",0.0029990333132445812,0.0011396389454603195,1.7740846872329712,"[1.6698403358459473, 1.7093923091888428, 1.779698133468628, 1.845956802368164, 1.8655389547348022]",9.400948524475098,0.9393333333333334,0.9633333333333334,0.05114263296127319,"[0.690436601638794, 0.705788791179657, 0.7306925058364868, 0.7527552843093872, 0.7804583311080933]","[0.002797839231789112, 0.0028583609964698553, 0.002967370441183448, 0.0031074737198650837, 0.0032641214784234762]",717,2.5753750801086426,0.00681281927973032
visuotactile_seed1,visuotactile,1,test_id,world_model,600,20,0.21850644052028656,"[0.4922182559967041, 0.10220639407634735, 0.057781901210546494, 0.4929657280445099, 0.10727355629205704, 0.058592986315488815]",0.002623021835461259,0.0007230286719277501,0.49540430307388306,"[0.3920938968658447, 0.4559955894947052, 0.4934898912906647, 0.529667317867279, 0.6057752370834351]",0.8677359223365784,0.9786666666666667,0.9888333333333333,0.02582773007452488,"[0.17009350657463074, 0.1963888555765152, 0.21151301264762878, 0.24199724197387695, 0.2725392282009125]","[0.0023283744230866432, 0.002342402236536145, 0.002532446291297674, 0.002805836498737335, 0.0031060485634952784]",1441,0.3925114870071411,0.004911441821604967
visuotactile_seed1,visuotactile,1,test_id,persistence_no_dynamics,600,20,0.09496618807315826,"[0.18346743285655975, 0.05777698755264282, 0.04984928295016289, 0.17865419387817383, 0.05074987933039665, 0.04929908737540245]",0.004778189118951559,0.0009194245212711394,0.48050907254219055,"[0.40530335903167725, 0.43300527334213257, 0.48776301741600037, 0.5175588726997375, 0.558914840221405]",1.3881787061691284,0.943,0.9805,0.03603195771574974,"[0.04323679953813553, 0.06764732301235199, 0.09528354555368423, 0.12005404382944107, 0.14860931038856506]","[0.0029229007195681334, 0.0037124177906662226, 0.004666387103497982, 0.005733514670282602, 0.006855732761323452]",1441,0.19669222831726074,0.009004651568830013
visuotactile_seed1,visuotactile,1,test_id,shuffled_tactile_at_test,600,20,1.7303568124771118,"[4.524897575378418, 0.48610278964042664, 0.14641636610031128, 4.634868621826172, 0.45072394609451294, 0.13913559913635254]",0.01928773894906044,0.0013511664001271129,4.6121015548706055,"[4.5652594566345215, 4.581698417663574, 4.604939937591553, 4.643238067626953, 4.665374755859375]",18.190200805664062,0.7923333333333333,0.7893333333333333,0.16883766651153564,"[1.7091180086135864, 1.7189298868179321, 1.725579857826233, 1.744390845298767, 1.7537641525268555]","[0.01891593635082245, 0.019177967682480812, 0.019358258694410324, 0.019469359889626503, 0.01951715350151062]",1441,3.120192289352417,0.02180025540292263
visuotactile_seed1,visuotactile,1,test_ood,world_model,600,20,0.39716124534606934,"[0.9415833950042725, 0.1860804706811905, 0.08283505588769913, 0.9030748605728149, 0.18307407200336456, 0.08632038533687592]",0.0021489174105226994,0.0009814332006499171,0.9639952778816223,"[0.864810585975647, 0.9034321308135986, 0.9394541382789612, 0.9887570142745972, 1.1235231161117554]",3.9852912425994873,0.9163333333333333,0.9658333333333333,0.040641214698553085,"[0.3466957211494446, 0.36304211616516113, 0.3830641806125641, 0.42372968792915344, 0.46927446126937866]","[0.002107878215610981, 0.0019509975099936128, 0.0020850677974522114, 0.002225639298558235, 0.002375006675720215]",717,1.250217318534851,0.0051414440385997295
visuotactile_seed1,visuotactile,1,test_ood,persistence_no_dynamics,600,20,0.20291177928447723,"[0.4159816801548004, 0.1283862143754959, 0.06572762131690979, 0.4089376926422119, 0.1248544380068779, 0.07358285784721375]",0.0026400566566735506,0.0010204300051555037,1.034201741218567,"[0.8813819289207458, 0.9446700811386108, 1.0264147520065308, 1.1136901378631592, 1.2048498392105103]",4.731845378875732,0.9103333333333333,0.9558333333333333,0.048841577023267746,"[0.11404695361852646, 0.15313737094402313, 0.20085671544075012, 0.2502571642398834, 0.29626086354255676]","[0.002415569731965661, 0.002511976519599557, 0.0026229522190988064, 0.002749568782746792, 0.0029002181254327297]",717,0.665485143661499,0.006354456301778555
visuotactile_seed1,visuotactile,1,test_ood,shuffled_tactile_at_test,600,20,1.147057056427002,"[2.8666181564331055, 0.4309583306312561, 0.10724892467260361, 2.9118154048919678, 0.4502720832824707, 0.11543318629264832]",0.008851412683725357,0.0013049920089542866,2.9002721309661865,"[2.809016227722168, 2.8380842208862305, 2.8932361602783203, 2.936826705932617, 3.024193048477173]",13.350427627563477,0.851,0.8613333333333333,0.11225641518831253,"[1.0987387895584106, 1.128909945487976, 1.1390222311019897, 1.1790457963943481, 1.1895679235458374]","[0.008869108743965626, 0.008696310222148895, 0.008836916647851467, 0.00890523660928011, 0.008949477225542068]",717,3.1262402534484863,0.02058776654303074
