method,domain,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
vision_world_model,test_id,contact_forecast_fraction,0.4688888888888889,0.3591111111111111,0.5722277777777777,30,3,0.0,2000,"[0.4688888888888889, 0.4688888888888889, 0.4688888888888889]"
vision_world_model,test_id,contact_phase_endpoint_force_mae_N,1.937223495147375,1.5696357632024656,2.344062766266489,30,3,0.036564714390376715,2000,"[1.9457227591964774, 1.9687900636669566, 1.8971576625786908]"
vision_world_model,test_id,endpoint_force_mae_N,0.9392943398787605,0.6775473369794737,1.2240729112315822,30,3,0.020755646080059056,2000,"[0.9346260682562952, 0.9619865766388743, 0.9212703747411121]"
vision_world_model,test_id,endpoint_force_mae_N_h1,0.920226676221477,0.6602320257153946,1.206112949412855,30,3,0.028438495070656353,2000,"[0.9141245016864398, 0.9512209308352666, 0.8953345961427247]"
vision_world_model,test_id,endpoint_force_mae_N_h2,0.9170311722633958,0.6583868824510639,1.19812005671689,30,3,0.02304092850163325,2000,"[0.9105755530921225, 0.942611344633624, 0.8979066190644409]"
vision_world_model,test_id,endpoint_force_mae_N_h3,0.9392236467213283,0.6766756601525067,1.2260112412616049,30,3,0.016974971465175435,2000,"[0.9361290515326308, 0.9575330225492104, 0.9240088660821439]"
vision_world_model,test_id,endpoint_force_mae_N_h4,0.9588784196142561,0.6905561327515203,1.2462755084819201,30,3,0.016985646812690193,2000,"[0.954661967418398, 0.977575146120766, 0.9443981453036044]"
vision_world_model,test_id,endpoint_force_mae_N_h5,0.9611117845733453,0.6971630755417613,1.2455292213048246,30,3,0.018391924478321154,2000,"[0.9576392675518851, 0.9809924390555049, 0.9447036471126463]"
vision_world_model,test_id,height_episode_coverage,1.0,1.0,1.0,30,3,0.0,2000,"[1.0, 1.0, 1.0]"
vision_world_model,test_id,height_mae_m,0.0032247695515538063,0.0025493432642359507,0.0038370953511684667,30,3,0.0008982720454835145,2000,"[0.004261793690449041, 0.0026881365216298338, 0.002724378442582545]"
vision_world_model,test_id,height_mae_m_h1,0.0026506162198213,0.0021433050935773753,0.003117191313521794,30,3,0.000665222697040868,2000,"[0.003399738570054372, 0.0021289733839027275, 0.0024231367055068]"
vision_world_model,test_id,height_mae_m_h2,0.002837707880343832,0.0022541442196353377,0.0033814575588379807,30,3,0.0007559510431951305,2000,"[0.00370684911862352, 0.002333086489266457, 0.0024731880331415193]"
vision_world_model,test_id,height_mae_m_h3,0.003162732562405937,0.0024900250189244548,0.0037681309656893256,30,3,0.0009055302146758238,2000,"[0.00420808720208394, 0.0026198011647405412, 0.002660309320393329]"
vision_world_model,test_id,height_mae_m_h4,0.003539822262903693,0.0027644200610218964,0.004261491087409214,30,3,0.0010208786615112852,2000,"[0.004716471714847204, 0.003013265586600432, 0.0028897294872634424]"
vision_world_model,test_id,height_mae_m_h5,0.003932968832294271,0.0030436444748985297,0.004761057099699663,30,3,0.0011677754684752484,2000,"[0.005277821846636168, 0.003345555983639012, 0.0031755286666076345]"
vision_world_model,test_id,interval_peak_mae_N,2.566501868036058,1.8462128188468792,3.3500769506461094,30,3,0.07966971161386191,2000,"[2.556915058824751, 2.650531203667323, 2.4920593416161005]"
vision_world_model,test_id,interval_peak_mae_N_h1,2.5181617188453678,1.7868709060141332,3.2846895342910734,30,3,0.10810370987980128,2000,"[2.5053268563747406, 2.632109898328781, 2.4170484018325804]"
vision_world_model,test_id,interval_peak_mae_N_h2,2.5161471447679733,1.7897705431591582,3.280141112600212,30,3,0.08800320001509532,2000,"[2.5055556490686204, 2.608966765801112, 2.433919019434187]"
vision_world_model,test_id,interval_peak_mae_N_h3,2.5687127802990104,1.8400518488663216,3.3564941286643344,30,3,0.06622690723909923,2000,"[2.563504619333479, 2.637389998568429, 2.505243722995122]"
vision_world_model,test_id,interval_peak_mae_N_h4,2.6053618438597077,1.8638647975822291,3.391216424270912,30,3,0.06591868505948002,2000,"[2.594676129553053, 2.6759705777963, 2.54543882422977]"
