comparison,domain,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
visuotactile_world_model minus vision_world_model,test_geometry_ood,endpoint_force_mae_N_h3,-0.5385483528910936,-0.7915690768709267,-0.3003271167634786,30,3,0.0068931212946147175,2000,"[-0.5451452680858266, -0.5391067921833773, -0.5313929984040765]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,endpoint_force_mae_N_h4,-0.5146882902674756,-0.7633582537632045,-0.2824824811764785,30,3,0.017955025594063045,2000,"[-0.5353676781046238, -0.5056351161093658, -0.5030620765884373]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,endpoint_force_mae_N_h5,-0.4820594999635086,-0.7234666242543852,-0.25106803875848704,30,3,0.028732518753818194,2000,"[-0.5151368327476774, -0.4677513437938911, -0.46329032334895737]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,height_episode_coverage,-0.3111111111111111,-0.4444444444444444,-0.17777777777777778,30,3,0.2219442706159798,2000,"[-0.5, -0.36666666666666664, -0.06666666666666667]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,height_mae_m,-0.0004316695936189111,-0.001176930117159955,0.0002652388739244118,30,3,0.0023018142063439668,2000,"[-0.0018804244390711474, 0.0022225214700738434, -0.0016371058118594293]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,height_mae_m_h1,-0.0005432026351762168,-0.0011970570838271265,8.511004675919706e-05,30,3,0.001574221831644885,2000,"[-0.0010525949285187784, 0.0012226400940077535, -0.0017996530710176254]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,height_mae_m_h2,-0.00027269186118953964,-0.000956120879203674,0.0003751470813812268,30,3,0.002125357044630908,2000,"[-0.001302097313681669, 0.0021713594281593234, -0.0016873376980462733]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,height_mae_m_h3,-0.00026308738561325575,-0.0010077890887238295,0.0004567344694921673,30,3,0.0024870697283376503,2000,"[-0.0017979884434801837, 0.0026064037924354326, -0.0015976775057950162]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,height_mae_m_h4,-0.000427460474580854,-0.0012389598640573376,0.00033666176924533614,30,3,0.0026377725793177817,2000,"[-0.0023286111418888643, 0.002583955412184069, -0.001537725694037767]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,height_mae_m_h5,-0.0006519056115346892,-0.001542522511012201,0.00017949074305161474,30,3,0.0028365242526567466,2000,"[-0.002920830367786241, 0.002528248623582638, -0.001563135090400465]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,interval_peak_mae_N,-1.3742463795211581,-2.100664927598393,-0.6812915765361657,30,3,0.01137733998140833,2000,"[-1.3873067573971218, -1.3664858400821687, -1.3689465410841837]"
