method,domain,training_seed,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
vision_world_model,test_combined_ood,2,interval_peak_mae_N_h3,1.6435664470990499,1.0405597954326204,2.288062492102384,30,1,,2000,[1.6435664470990499]
vision_world_model,test_combined_ood,0,interval_peak_mae_N_h4,1.6850838005542754,1.0356535305943755,2.323955599142445,30,1,,2000,[1.6850838005542754]
vision_world_model,test_combined_ood,1,interval_peak_mae_N_h4,1.8276031296783024,1.19208424480425,2.4879700480335285,30,1,,2000,[1.8276031296783024]
vision_world_model,test_combined_ood,2,interval_peak_mae_N_h4,1.6981649390856426,1.0967139287590981,2.332017927802271,30,1,,2000,[1.6981649390856426]
vision_world_model,test_combined_ood,0,interval_peak_mae_N_h5,1.7457660304175482,1.0662624471651183,2.409643863075309,30,1,,2000,[1.7457660304175482]
vision_world_model,test_combined_ood,1,interval_peak_mae_N_h5,1.8485344926516214,1.20971998539567,2.516741939852635,30,1,,2000,[1.8485344926516214]
vision_world_model,test_combined_ood,2,interval_peak_mae_N_h5,1.7192247376177046,1.1053237403763665,2.353858034580946,30,1,,2000,[1.7192247376177046]
vision_world_model,test_combined_ood,0,joint_episode_coverage,0.8666666666666667,0.7333333333333333,0.9666666666666667,30,1,,2000,[0.8666666666666667]
vision_world_model,test_combined_ood,1,joint_episode_coverage,0.9333333333333333,0.8333333333333334,1.0,30,1,,2000,[0.9333333333333333]
vision_world_model,test_combined_ood,2,joint_episode_coverage,0.6333333333333333,0.4666666666666667,0.8,30,1,,2000,[0.6333333333333333]
vision_world_model,test_combined_ood,0,peak_episode_coverage,1.0,1.0,1.0,30,1,,2000,[1.0]
vision_world_model,test_combined_ood,1,peak_episode_coverage,1.0,1.0,1.0,30,1,,2000,[1.0]
vision_world_model,test_combined_ood,2,peak_episode_coverage,1.0,1.0,1.0,30,1,,2000,[1.0]
vision_world_model,test_geometry_ood,0,contact_forecast_fraction,0.4928888888888889,0.3915388888888889,0.5822277777777777,30,1,,2000,[0.4928888888888889]
vision_world_model,test_geometry_ood,1,contact_forecast_fraction,0.4928888888888889,0.3915388888888889,0.5822277777777777,30,1,,2000,[0.4928888888888889]
vision_world_model,test_geometry_ood,2,contact_forecast_fraction,0.4928888888888889,0.3915388888888889,0.5822277777777777,30,1,,2000,[0.4928888888888889]
