method,domain,training_seed,environment_seed,episode_id,windows,endpoint_force_mae_N,endpoint_force_mae_N_h1,endpoint_force_mae_N_h2,endpoint_force_mae_N_h3,endpoint_force_mae_N_h4,endpoint_force_mae_N_h5,interval_peak_mae_N,interval_peak_mae_N_h1,interval_peak_mae_N_h2,interval_peak_mae_N_h3,interval_peak_mae_N_h4,interval_peak_mae_N_h5,height_mae_m,height_mae_m_h1,height_mae_m_h2,height_mae_m_h3,height_mae_m_h4,height_mae_m_h5,contact_phase_endpoint_force_mae_N,contact_forecast_fraction,peak_episode_coverage,height_episode_coverage,joint_episode_coverage,contact_force_error_sum,contact_force_component_count
vision_world_model,test_id,0,20350020,id_020,30,2.235146021356599,2.286114337326338,2.134109314634568,2.279572801395423,2.2246836962799232,2.251249957146744,6.301215404669444,6.433379232883453,6.05600544611613,6.4542540868123375,6.236197392145793,6.326240865389506,0.009129089328926056,0.006077644880861044,0.007408911501988769,0.009071698761545122,0.010617365750173727,0.01246982575006162,3.397461360442065,0.6466666666666666,1.0,1.0,1.0,1977.3225117772818,582
vision_world_model,test_id,0,20350021,id_021,30,0.969697916822301,0.893545086743931,0.8184348082997732,0.921600495196051,1.0456194563251402,1.1692897375466096,2.685089126427968,2.420064417521159,2.19534486134847,2.565829141934713,2.9079776048660277,3.3362296064694723,0.004811377855755078,0.004755041945221213,0.004734316545849045,0.004776132153347134,0.004727286261428768,0.00506411237292923,1.4267858147449028,0.6733333333333333,1.0,1.0,1.0,864.6322037354112,606
vision_world_model,test_id,0,20350022,id_022,30,0.04060150491280688,0.049576102197170256,0.043765728423992796,0.039164177638789016,0.03589919263290035,0.034602323671181996,0.12943917512893677,0.13905694882074993,0.13275437355041503,0.1275649070739746,0.12424635887145996,0.12357328732808431,0.00047072115587070584,0.0006511889359292884,0.00042208666757990917,0.00042571114609017967,0.0004308935914499064,0.00042372543830424545,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_id,0,20350023,id_023,30,0.5672130223115285,0.7167919922827019,0.5067492956088648,0.5011626125830743,0.5215565937467748,0.5898046173362268,1.0757721638679505,1.5271933476130168,0.9123108466466268,0.9113186160723369,0.9220971981684367,1.1059408108393352,0.004857838771616419,0.004194330024377754,0.0042048248617599406,0.00468660230981186,0.005292010462532441,0.0059114261996001,0.8594157694426087,0.6466666666666666,1.0,1.0,1.0,500.17997781559825,582
vision_world_model,test_id,0,20350024,id_024,30,0.35840220398373074,0.35211183350119324,0.35276776185880104,0.3686123953925239,0.3747142907852928,0.34380473838084274,0.6766954326629638,0.6261182943979899,0.6595587809880574,0.6735691070556641,0.7603013515472412,0.6639296293258667,0.005903898941663405,0.004284475119008372,0.00517589293885976,0.005886372310730318,0.006679959203271816,0.007492795136446754,0.5236405599925692,0.6533333333333333,1.0,1.0,1.0,307.9006492756307,588
vision_world_model,test_id,0,20350025,id_025,30,1.3928822700182597,1.170425962843001,1.3277994967479674,1.5253378234079316,1.5582683509422672,1.3825797161501314,4.1301358183225,3.4157845973968506,4.042027270793914,4.36848992506663,4.452097241083781,4.372280057271322,0.008348178587233027,0.007270035485271364,0.00825361415045336,0.008726402022875845,0.008756939220863085,0.008733902056701482,2.1150894841831813,0.6533333333333333,1.0,1.0,1.0,1243.6726166997105,588
vision_world_model,test_id,0,20350026,id_026,30,2.4557817346147366,2.654949710932043,2.5305401347370613,2.440438857736687,2.3777984011090463,2.2751815685588452,6.036198388735453,6.643990071614583,6.272855075200399,5.982592932383219,5.843572664260864,5.437981200218201,0.0049500669150923686,0.004727075113138805,0.0042803030538683135,0.004218526669622709,0.005091846342353771,0.006432583396478246,3.744405908655806,0.6533333333333333,1.0,1.0,1.0,2201.710674289614,588
vision_world_model,test_id,0,20350027,id_027,30,0.9795411345776585,0.9948049274376697,0.9626523784879181,0.9878402670224508,0.9694797474683987,0.982928352471855,2.588512231508891,2.6771374464035036,2.55553244749705,2.6065961082776385,2.5364583214124043,2.5668368339538574,0.00808489899422663,0.005967313660463939,0.007170831920423855,0.008229330325654398,0.00915848432535616,0.009898534739234795,1.554681093108216,0.62,1.0,1.0,1.0,867.5120499543846,558
vision_world_model,test_id,0,20350028,id_028,30,0.03972380590521627,0.05248329622877969,0.03928538186268674,0.035380469552344744,0.03514275532215834,0.03632712656011184,0.11617245833079021,0.1475888729095459,0.1232351541519165,0.10695942242940266,0.10159444014231364,0.1014844020207723,0.0005589425051584839,0.000702430447563529,0.000565486199532946,0.0005246864476551612,0.0005118134819592038,0.0004902959490815799,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_id,0,20350029,id_029,30,1.033245025674502,0.9948860578859846,0.9681030554076036,1.0724049556793438,1.0446386805011167,1.0861923788984618,2.9412428069114687,2.7305806001027424,2.814731768767039,3.096238652865092,2.951478377978007,3.1131846348444623,0.009934754429850727,0.006503030770303061,0.007786147963876526,0.010150457099856187,0.01161320813698694,0.013620928178230922,1.5525758775635337,0.6533333333333333,1.0,1.0,1.0,912.9146160073578,588
vision_world_model,test_geometry_ood,0,20351000,geometry_ood_000,30,0.6562388662828339,0.6304855251684784,0.6690629336982965,0.6729206326728066,0.6617036803729004,0.6470215595016877,1.610498382250468,1.5069292386372883,1.643823266029358,1.6471787055333456,1.6420717636744182,1.6124889373779296,0.003600197779208732,0.0031245346064679323,0.0026951220507423082,0.003208915547778209,0.00406371498053583,0.004908701710519381,1.0554736510243719,0.5866666666666667,1.0,1.0,1.0,557.2900877408683,528
vision_world_model,test_geometry_ood,0,20351001,geometry_ood_001,30,0.038759219671289126,0.0493235408845875,0.040226632232467335,0.03644438011364804,0.03392762937065628,0.03387391575508648,0.1273956537246704,0.1605128049850464,0.13536042372385662,0.12031165758768718,0.11235915819803874,0.10843422412872314,0.0005346028464070211,0.000712346068272988,0.0004585716815199703,0.00047057554863082863,0.0005196103913476691,0.0005119105422636494,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_geometry_ood,0,20351002,geometry_ood_002,30,0.04180120914346642,0.039820298904346095,0.04245140784316593,0.04264712824175755,0.042592706862423155,0.04149450386563937,0.14092233180999755,0.14323445955912273,0.14258405367533367,0.14092090129852294,0.13760948181152344,0.14026276270548502,0.00030968001888444024,0.0004772944841533899,0.000274082669056952,0.0002410526465003689,0.00027430617871383826,0.00028166411599765223,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_geometry_ood,0,20351003,geometry_ood_003,30,3.7346081541830465,3.61445312489652,3.660476109613147,3.759576464133958,3.755403005507671,3.8831320667639373,7.719348559379577,7.428994639714559,7.544935480753581,7.769082752863566,7.84308299223582,8.010646931330363,0.010472424651961774,0.009539365749030063,0.009735641605220734,0.010314969520550221,0.011026912861658881,0.011745233523348967,5.6919473260419355,0.6533333333333333,0.0,1.0,0.0,3346.865027712658,588
vision_world_model,test_geometry_ood,0,20351004,geometry_ood_004,30,0.732028320910823,0.9898159796889457,0.7537636059853766,0.6555560217135482,0.6305970936392744,0.6304089035269701,1.8793153309822082,2.586683456103007,1.9310187975565591,1.680230728785197,1.634570097923279,1.5640735745429992,0.0045828958173903325,0.003029097589508941,0.003530741036714365,0.004472116151979814,0.00547216907919695,0.006410355229551593,1.0998234408203686,0.5733333333333334,1.0,1.0,1.0,567.5088954633102,516
