phase,step,actor_loss,val_normalized_action_mse,val_action_nll,value_loss,critic_loss,mean_advantage,mean_advantage_weight,max_advantage_weight,mean_td_target
iql,4000,-6.848031044006348,0.027639856534940107,-0.7942907635545556,0.3437352180480957,4.0793280601501465,0.030757561326026917,5.658651828765869,100.0,2.881840229034424
iql,4250,-1.5603770017623901,0.028874453807065447,-0.7669561590467181,0.11678671836853027,1.7303128242492676,-0.18617922067642212,1.1756106615066528,14.620442390441895,4.162976264953613
iql,4500,-7.350184440612793,0.027191823612789424,-0.8460627510434106,0.28455373644828796,1.6620242595672607,0.04815114662051201,4.696230411529541,100.0,4.412019729614258
iql,4750,-5.733588218688965,0.025748318233083756,-0.9136922931496477,0.16016961634159088,2.6425271034240723,-0.02212122268974781,3.955902099609375,100.0,3.620067834854126
iql,5000,-3.241671085357666,0.026542798925580067,-0.8926089194231418,0.15652941167354584,5.256323337554932,-0.0757693350315094,2.2870280742645264,100.0,3.648298740386963
iql,5250,-3.511474609375,0.03134217305533629,-0.6921620823088146,0.20170646905899048,3.3493874073028564,-0.06939634680747986,3.05592679977417,100.0,3.9390225410461426
iql,5500,-1.6643791198730469,0.029596961702513525,-0.7264062681477585,0.11190521717071533,2.4752166271209717,-0.1804281622171402,1.2210018634796143,13.546080589294434,4.616063117980957
iql,5750,-2.9858551025390625,0.030323066245491578,-0.6727944494603755,0.1305924654006958,2.73972487449646,-0.23711831867694855,1.7261325120925903,67.16129302978516,4.947314739227295
iql,6000,-1.6747723817825317,0.028948997428611727,-0.7719304910946242,0.2254805564880371,3.039555549621582,-0.15508480370044708,2.2564809322357178,100.0,4.93360710144043
iql,6250,-7.538395881652832,0.030890928045761237,-0.6124275154246516,0.45513975620269775,5.1885175704956055,-0.21267758309841156,6.594657897949219,100.0,4.328392505645752
iql,6500,-9.233732223510742,0.027032037895009086,-0.8385573922496139,0.36002814769744873,7.083410263061523,-0.0953749567270279,4.968442916870117,100.0,4.785389423370361
iql,6750,-2.136401414871216,0.026694497857293994,-0.8625211811764336,0.2855354845523834,4.013880252838135,-0.36145806312561035,1.7912158966064453,71.83155822753906,4.505354404449463
iql,7000,-3.2595765590667725,0.03372771272243038,-0.3253275326320103,0.2164856195449829,3.9267690181732178,-0.2777731716632843,2.097827672958374,100.0,5.837531089782715
iql,7250,-4.946894645690918,0.026326063290347545,-0.8803644311297071,0.20216426253318787,2.5541694164276123,-0.1507169008255005,2.7388148307800293,100.0,4.919116973876953
iql,7500,-2.6468565464019775,0.028346102395403666,-0.7586793925735976,0.234417125582695,2.025794744491577,-0.2824804186820984,1.5302631855010986,50.50435256958008,4.971261024475098
iql,7750,-1.4804333448410034,0.02890241160074542,-0.7260181589440985,0.1481713503599167,2.321472644805908,-0.07968708872795105,2.4114041328430176,100.0,5.4657182693481445
iql,8000,-3.0383057594299316,0.02858121983532968,-0.7618839085757078,0.328049898147583,3.3495335578918457,-0.28519076108932495,2.094892978668213,100.0,5.522697925567627
iql,8250,-3.5606331825256348,0.030651766006858684,-0.649109178410345,0.2748824954032898,6.215732574462891,-0.2902712821960449,1.86659836769104,100.0,5.959812164306641
